1	0	10825	20133	1	15325	20133	1	15325	11433	1	10825	11433	1
2	0	15325	20133	1	24325	20133	1	24325	11433	1	15325	11433	1
3	0	10825	23333	1	15325	23333	1	15325	32033	1	10825	32033	1
4	0	15325	23333	1	24325	23333	1	24325	32033	1	15325	32033	1
5	0	28825	20133	1	37825	20133	1	37825	11433	1	28825	11433	1
6	0	37825	20133	1	42325	20133	1	42325	11433	1	37825	11433	1
7	0	28825	23333	1	37825	23333	1	37825	32033	1	28825	32033	1
8	0	37825	23333	1	42325	23333	1	42325	32033	1	37825	32033	1
9	0	42325	23333	1	46825	23333	1	46825	32033	1	42325	32033	1
10	2	10825	23333	1	24325	23333	1	24325	20133	1	10825	20133	1
11	2	24325	23333	1	24325	32033	1	28825	32033	1	28825	23333	1
12	2	24325	23333	1	28825	23333	1	28825	20133	1	24325	20133	1
13	2	24325	20133	1	24325	11433	1	28825	11433	1	28825	20133	1
14	2	28825	23333	1	42325	23333	1	42325	20133	1	28825	20133	1
15	2	42325	23333	1	46825	23333	1	46825	20133	1	42325	20133	1
16	2	42325	20133	1	42325	11433	1	46825	11433	1	46825	20133	1
17	1	26575	27683	1									
18	1	44575	15783	1									
