1	0	108	201	1	153	201	1	153	114	1	108	114	1
2	0	153	201	1	243	201	1	243	114	1	153	114	1
3	0	108	233	1	153	233	1	153	320	1	108	320	1
4	0	153	233	1	243	233	1	243	320	1	153	320	1
5	0	288	201	1	378	201	1	378	114	1	288	114	1
6	0	378	201	1	423	201	1	423	114	1	378	114	1
7	0	288	233	1	378	233	1	378	320	1	288	320	1
8	0	378	233	1	423	233	1	423	320	1	378	320	1
9	0	423	233	1	468	233	1	468	320	1	423	320	1
10	2	108	233	1	243	233	1	243	201	1	108	201	1
11	2	243	233	1	243	320	1	288	320	1	288	233	1
12	2	243	233	1	288	233	1	288	201	1	243	201	1
13	2	243	201	1	243	114	1	288	114	1	288	201	1
14	2	288	233	1	423	233	1	423	201	1	288	201	1
15	2	423	233	1	468	233	1	468	201	1	423	201	1
16	2	423	201	1	423	114	1	468	114	1	468	201	1
17	1	265	276	1									
18	1	445	157	1									
19	0	108	201	2	153	201	2	153	114	2	108	114	2
20	0	153	201	2	243	201	2	243	114	2	153	114	2
21	0	108	233	2	153	233	2	153	320	2	108	320	2
22	0	153	233	2	243	233	2	243	320	2	153	320	2
23	0	288	201	2	378	201	2	378	114	2	288	114	2
24	0	378	201	2	423	201	2	423	114	2	378	114	2
25	0	288	233	2	378	233	2	378	320	2	288	320	2
26	0	378	233	2	423	233	2	423	320	2	378	320	2
27	0	423	233	2	468	233	2	468	320	2	423	320	2
28	2	108	233	2	243	233	2	243	201	2	108	201	2
29	2	243	233	2	243	320	2	288	320	2	288	233	2
30	2	243	233	2	288	233	2	288	201	2	243	201	2
31	2	243	201	2	243	114	2	288	114	2	288	201	2
32	2	288	233	2	423	233	2	423	201	2	288	201	2
33	2	423	233	2	468	233	2	468	201	2	423	201	2
34	2	423	201	2	423	114	2	468	114	2	468	201	2
35	1	265	276	2									
36	1	445	157	2									
